,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.5625,0.5559523701667786,0.6968532178331824,0.49039140343666077,0.5559523701667786,0.5559523701667786,0.654411792755127,0.6595236659049988,0.6406297768865313,0.4705687463283539,0.6595237851142883,0.6595237851142883
1,0.7022058963775635,0.7035713791847229,0.5957348688560373,0.44042593240737915,0.7035713791847229,0.7035713791847229,0.7610294222831726,0.7654762268066406,0.5118863391024726,0.3835574686527252,0.7654762268066406,0.7654762268066406
2,0.7573529481887817,0.7571429014205933,0.4579476757961161,0.3367886543273926,0.7571429014205933,0.7571429014205933,0.8198529481887817,0.8226190209388733,0.38768209517002106,0.28102660179138184,0.8226190805435181,0.8226190805435181
3,0.8198529481887817,0.8226190209388733,0.3648102704216452,0.25846561789512634,0.8226190209388733,0.8226190209388733,0.8272058963775635,0.8297619819641113,0.3321626218301909,0.22527991235256195,0.8297620415687561,0.8297620415687561
4,0.8933823704719543,0.8940474390983582,0.2802988282021354,0.19720542430877686,0.8940474390983582,0.8940474390983582,0.8566176295280457,0.8559523224830627,0.29905434272118975,0.19542881846427917,0.8559523224830627,0.8559523224830627
5,0.9411764740943909,0.9404762387275696,0.18982147710288272,0.1381843090057373,0.9404762387275696,0.9404762387275696,0.9117646813392639,0.9119048118591309,0.1995923537760973,0.12213315814733505,0.9119048118591309,0.9119048118591309
6,0.8933823704719543,0.8940476179122925,0.21929993891321561,0.1331605315208435,0.8940476179122925,0.8940476179122925,0.8382353186607361,0.8404763340950012,0.300785451063088,0.17900915443897247,0.8404763340950012,0.8404763340950012
7,0.9632353186607361,0.964285671710968,0.1331212506903445,0.09717036038637161,0.964285671710968,0.964285671710968,0.9448529481887817,0.9440475702285767,0.12707957785044396,0.0966581180691719,0.9440475702285767,0.9440475702285767
8,0.9632353186607361,0.964285671710968,0.10839811159188256,0.07871772348880768,0.964285671710968,0.964285671710968,0.966911792755127,0.9654761552810669,0.09024950489401817,0.07191364467144012,0.9654761552810669,0.9654761552810669
9,0.9485294222831726,0.9476189613342285,0.11092150745475117,0.07577290385961533,0.9476189613342285,0.9476189613342285,0.9742646813392639,0.9726189970970154,0.07341520521523696,0.05357762426137924,0.9726189970970154,0.9726189970970154
10,0.9522058963775635,0.9535713195800781,0.10227461686522207,0.06771334260702133,0.9535713791847229,0.9535713791847229,0.9338235259056091,0.9357142448425293,0.12358275561460427,0.08907119929790497,0.9357142448425293,0.9357142448425293
