,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.6899695992469788,0.6905723810195923,0.6318052992632324,0.4365669786930084,0.6905723810195923,0.6905723810195923,0.8556231260299683,0.8557237982749939,0.5800538767467845,0.43690672516822815,0.8557237982749939,0.8557237982749939
1,0.8677811622619629,0.8673400282859802,0.35864980890214626,0.2605218291282654,0.867340087890625,0.867340087890625,0.957446813583374,0.957407534122467,0.15204024066527685,0.11891929060220718,0.957407534122467,0.957407534122467
2,0.9513677954673767,0.951515257358551,0.11570060776835336,0.07838089019060135,0.951515257358551,0.951515257358551,0.9620060920715332,0.9621214866638184,0.09690099599009211,0.05561830848455429,0.9621214866638184,0.9621214866638184
3,0.9422492384910583,0.9424242973327637,0.14170639368062868,0.07629876583814621,0.9424242973327637,0.9424242973327637,0.975683867931366,0.9757577180862427,0.0683894847717249,0.049344152212142944,0.9757577180862427,0.9757577180862427
4,0.9772036671638489,0.9772727489471436,0.0830150777106046,0.05645270273089409,0.9772727489471436,0.9772727489471436,0.9665653705596924,0.9666668176651001,0.08244549220597203,0.044007450342178345,0.9666668176651001,0.9666668176651001
5,0.9696048498153687,0.9691919684410095,0.07520290202882968,0.04496786743402481,0.9691919684410095,0.9691919684410095,0.9863221645355225,0.9863637089729309,0.041776976294138214,0.03311184421181679,0.9863637089729309,0.9863637089729309
6,0.978723406791687,0.9787879586219788,0.05369752023572889,0.03976422920823097,0.9787879586219788,0.9787879586219788,0.9817629456520081,0.9818181991577148,0.03811033824317609,0.025247568264603615,0.9818181991577148,0.9818181991577148
7,0.975683867931366,0.9757574796676636,0.06827497405019846,0.03867946192622185,0.9757574796676636,0.9757574796676636,0.9878419637680054,0.9878787398338318,0.034676289510433424,0.027133135125041008,0.9878788590431213,0.9878788590431213
8,0.9832826852798462,0.9833334684371948,0.047193838858065454,0.0324549674987793,0.9833334684371948,0.9833334684371948,0.9954407215118408,0.9954544901847839,0.02532643855859836,0.021295936778187752,0.9954544901847839,0.9954544901847839
9,0.9893617033958435,0.9893938899040222,0.040568721863528924,0.026089755818247795,0.9893938899040222,0.9893938899040222,0.9939209818840027,0.9939394593238831,0.01981529749393689,0.016286950558423996,0.9939394593238831,0.9939394593238831
10,0.9863221645355225,0.9863637089729309,0.02985087023463417,0.022055713459849358,0.9863637089729309,0.9863637089729309,0.9741641283035278,0.9740741848945618,0.06267558553284316,0.030174797400832176,0.9740741848945618,0.9740741848945618
11,0.9848024249076843,0.9848484992980957,0.03644738516219719,0.02494571916759014,0.9848486185073853,0.9848486185073853,0.9939209818840027,0.9939394593238831,0.01570656770402848,0.011903605423867702,0.9939394593238831,0.9939394593238831
12,0.9954407215118408,0.9954544901847839,0.02125080516009866,0.014799213968217373,0.9954544901847839,0.9954544901847839,0.9984802603721619,0.9984848499298096,0.009824439313502588,0.008393998257815838,0.9984848499298096,0.9984848499298096
13,1.0,1.0,0.00836062430309296,0.00753970630466938,1.0,1.0,0.9817629456520081,0.9818181991577148,0.04823526196295544,0.023173408582806587,0.9818181991577148,0.9818181991577148
14,0.9984802603721619,0.9984848499298096,0.008017058679402316,0.0069337631575763226,0.9984848499298096,0.9984848499298096,1.0,1.0,0.005215636579757274,0.004833510145545006,1.0,1.0
15,1.0,1.0,0.007445420648872224,0.006535473745316267,1.0,1.0,0.9984802603721619,0.9984848499298096,0.008012190944458725,0.0065764170140028,0.9984848499298096,0.9984848499298096
16,0.996960461139679,0.9969697594642639,0.010002745024482706,0.007456263527274132,0.9969697594642639,0.9969697594642639,0.9908814430236816,0.9909090995788574,0.02874270230390583,0.0223443154245615,0.9909090995788574,0.9909090995788574
17,0.9984802603721619,0.9984848499298096,0.005314498628124504,0.004463373217731714,0.9984848499298096,0.9984848499298096,1.0,1.0,0.002551126661604609,0.002456309739500284,1.0,1.0
18,1.0,1.0,0.00248142094076236,0.0024033207446336746,1.0,1.0,1.0,1.0,0.0021355650010677477,0.0020559874828904867,1.0,1.0
19,1.0,1.0,0.002483049763658857,0.0023442120291292667,1.0,1.0,1.0,1.0,0.0017681279868790598,0.0017406297847628593,1.0,1.0
20,0.9984802603721619,0.9984848499298096,0.0049109379384959665,0.004044246394187212,0.9984848499298096,0.9984848499298096,1.0,1.0,0.0015134632548407271,0.0014672703109681606,1.0,1.0
21,1.0,1.0,0.0017440087066154424,0.0016784461913630366,1.0,1.0,1.0,1.0,0.0011496039795460863,0.0011296381708234549,1.0,1.0
22,1.0,1.0,0.001363168413570189,0.0013219547690823674,1.0,1.0,1.0,1.0,0.0014667150720594111,0.0014390293508768082,1.0,1.0
23,1.0,1.0,0.0015415497178974877,0.001487242174334824,1.0,1.0,1.0,1.0,0.0014367191024024523,0.001380816102027893,1.0,1.0
24,1.0,1.0,0.0014032000401522611,0.0013656076043844223,1.0,1.0,1.0,1.0,0.000635822145175718,0.000631242583040148,1.0,1.0
