,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.4870075583457947,0.1559860110282898,1.1886033356339614,0.3328186869621277,0.3257436156272888,0.12000000476837158,0.7108131051063538,0.5645793676376343,0.8427849198381107,0.25227662920951843,0.8874732851982117,0.42230767011642456
1,0.6789606213569641,0.6546400785446167,0.7764247111282924,0.22442463040351868,0.7713772058486938,0.5839744210243225,0.6990779638290405,0.6942101120948792,0.7064581940571467,0.20575837790966034,0.7235917448997498,0.668205201625824
2,0.7217099666595459,0.7193309664726257,0.6655935956366604,0.19165711104869843,0.7667973637580872,0.6803204417228699,0.7326068878173828,0.7328090667724609,0.6286775968968868,0.1842481940984726,0.7731258869171143,0.699102520942688
3,0.716680645942688,0.7095511555671692,0.6556864116037981,0.18931807577610016,0.7564285397529602,0.6715385317802429,0.7359597682952881,0.7412513494491577,0.6012153831621011,0.18263931572437286,0.7981666326522827,0.6953204870223999
4,0.7250628471374512,0.7155635356903076,0.6397954954485482,0.18511928617954254,0.7722835540771484,0.6724358201026917,0.7367979884147644,0.7340648174285889,0.6173247940838337,0.17947572469711304,0.8102496862411499,0.675320565700531
5,0.7342833280563354,0.736315906047821,0.5942466491325903,0.17431500554084778,0.7894247174263,0.693717896938324,0.746856689453125,0.7496816515922546,0.5626252387960752,0.1660168170928955,0.7854979634284973,0.719102680683136
6,0.7342833280563354,0.7383868098258972,0.581958526587746,0.17056360840797424,0.7873897552490234,0.6973718404769897,0.7619446516036987,0.7575289011001587,0.5631501600146294,0.17630676925182343,0.8160589933395386,0.7098717093467712
7,0.7544006705284119,0.7495214343070984,0.5669379115654257,0.16737328469753265,0.8007911443710327,0.7073718309402466,0.7476949095726013,0.7461488246917725,0.5710623855392138,0.1666722297668457,0.7957169413566589,0.7049359083175659
8,0.7602682113647461,0.7517153024673462,0.5568613155439733,0.16370028257369995,0.8095794320106506,0.7078202962875366,0.7636211514472961,0.7417396903038025,0.5619940099616846,0.16552704572677612,0.822097659111023,0.6786538362503052
9,0.7560771107673645,0.747557520866394,0.5558951034929607,0.16462522745132446,0.8111140131950378,0.696538507938385,0.7829002737998962,0.7759252190589905,0.5067839443683624,0.15199799835681915,0.8224200010299683,0.7366027235984802
10,0.7661358118057251,0.7636593580245972,0.5333971624502293,0.15714611113071442,0.8109075427055359,0.7236537933349609,0.773679792881012,0.7703055739402771,0.49699764624238013,0.146028533577919,0.8055633306503296,0.7398717403411865
11,0.768650472164154,0.7722975611686707,0.5130750493951336,0.15338052809238434,0.8187714219093323,0.7339102625846863,0.7317686676979065,0.7273309826850891,0.5565589092671871,0.171616330742836,0.7644618153572083,0.6957051157951355
12,0.7602682113647461,0.7539279460906982,0.5251700890134187,0.15549319982528687,0.7991763353347778,0.7160255908966064,0.7946353554725647,0.7862863540649414,0.48537372623880704,0.15175488591194153,0.8391962051391602,0.7419872879981995
13,0.7837384939193726,0.7808557748794556,0.5013639932406219,0.15094102919101715,0.8344444036483765,0.736153781414032,0.7837384939193726,0.7818486094474792,0.4760600329687198,0.13586010038852692,0.8072296977043152,0.7595512270927429
14,0.7887678146362305,0.7895271182060242,0.4754839975446188,0.144206240773201,0.832736074924469,0.7532051801681519,0.7937971353530884,0.7874587774276733,0.4807116786638896,0.14281144738197327,0.8222584128379822,0.7569872140884399
15,0.7661358118057251,0.770930826663971,0.5071481896965622,0.14943169057369232,0.8146104216575623,0.7336539030075073,0.7971500158309937,0.790614664554596,0.4675319405893485,0.13869361579418182,0.8216508626937866,0.763269305229187
16,0.7971500158309937,0.7886127829551697,0.4792652628747536,0.1447688639163971,0.8375932574272156,0.7473717331886292,0.8021793961524963,0.7980386018753052,0.4617573412756125,0.1470629721879959,0.8650831580162048,0.7432692646980286
17,0.7862531542778015,0.7827519178390503,0.4848738330207946,0.14271967113018036,0.8278204798698425,0.7445511221885681,0.7921206951141357,0.7817233204841614,0.4809175655245781,0.14476311206817627,0.8241772055625916,0.7453205585479736
18,0.8113998174667358,0.8082075119018555,0.4477747841382966,0.13790546357631683,0.8527509570121765,0.7699357867240906,0.8155909180641174,0.80967116355896,0.4351456664502621,0.13121452927589417,0.8519141674041748,0.7728846073150635
19,0.8155909180641174,0.8067789077758789,0.44382352616141446,0.13357587158679962,0.8467012643814087,0.7728204131126404,0.8357083201408386,0.8297378420829773,0.4012514187643925,0.12402068823575974,0.8661882877349854,0.7978846430778503
20,0.8214585185050964,0.8177309632301331,0.43143417639384624,0.13095594942569733,0.8531173467636108,0.7878845930099487,0.8105615973472595,0.8021067380905151,0.44091571544607483,0.12134576588869095,0.8233240842819214,0.7828846573829651
21,0.8147526979446411,0.8118205666542053,0.42873420969138903,0.12783709168434143,0.8369436860084534,0.7894870638847351,0.8147526979446411,0.8082351684570312,0.4434937313199043,0.14077799022197723,0.875317394733429,0.7532692551612854
22,0.8290024995803833,0.8191487789154053,0.4265736811618693,0.1281946301460266,0.8513485193252563,0.7911537885665894,0.8466051816940308,0.8438076376914978,0.37930413049956163,0.11795682460069656,0.8677690625190735,0.8220511674880981
23,0.8222967386245728,0.8244931101799011,0.4064571010596794,0.1235039085149765,0.8563286662101746,0.7962180376052856,0.8365465402603149,0.8412400484085083,0.3740964114665985,0.11873800307512283,0.8737738132476807,0.8128845691680908
24,0.8382229804992676,0.8313941359519958,0.39448013714353075,0.1215638816356659,0.8638544082641602,0.8027563095092773,0.8474434018135071,0.8502748608589172,0.3651633863647779,0.1182434931397438,0.8704450726509094,0.8320513367652893
