,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.4742647111415863,0.4702380299568176,0.7110140595365974,0.5020743608474731,0.4702381193637848,0.4702381193637848,0.5,0.5,0.673295374427523,0.487737774848938,0.5000000596046448,0.5000000596046448
1,0.7132353186607361,0.7214285135269165,0.6410593390464783,0.4717163145542145,0.7214285135269165,0.7214285135269165,0.904411792755127,0.9023808836936951,0.5720815403120858,0.4311705529689789,0.9023809432983398,0.9023809432983398
2,0.9154411554336548,0.9154762029647827,0.44849096852190357,0.34927624464035034,0.9154762029647827,0.9154762029647827,0.9485294222831726,0.9476190209388733,0.32354635638850077,0.2555648684501648,0.9476190209388733,0.9476190209388733
3,0.9264705777168274,0.9238094687461853,0.23274518834317431,0.17630302906036377,0.9238095283508301,0.9238095283508301,0.966911792755127,0.9654761552810669,0.14601791064654077,0.11293257027864456,0.9654761552810669,0.9654761552810669
4,0.9558823704719543,0.9571428298950195,0.14242544940070195,0.10555895417928696,0.9571428894996643,0.9571428894996643,0.9338235259056091,0.9357141852378845,0.14732747937419585,0.09039163589477539,0.9357141852378845,0.9357141852378845
5,0.9411764740943909,0.9428570866584778,0.14686950082507202,0.09348557889461517,0.9428570866584778,0.9428570866584778,0.9742646813392639,0.9749999642372131,0.08436466048338584,0.056848615407943726,0.9749999642372131,0.9749999642372131
6,0.9779411554336548,0.978571355342865,0.0806776143007857,0.05346675217151642,0.978571355342865,0.978571355342865,0.9852941036224365,0.985714316368103,0.06262343509921006,0.04643510654568672,0.985714316368103,0.985714316368103
7,0.9816176295280457,0.9821428060531616,0.07386938531828277,0.048148173838853836,0.9821428060531616,0.9821428060531616,0.9852941036224365,0.985714316368103,0.048142315952905586,0.033273011445999146,0.985714316368103,0.985714316368103
8,0.9852941036224365,0.9857142567634583,0.053247909951845515,0.03486398234963417,0.9857142567634583,0.9857142567634583,0.9852941036224365,0.985714316368103,0.041306027211248875,0.02815968357026577,0.985714316368103,0.985714316368103
9,0.9889705777168274,0.9869047403335571,0.04505693244145197,0.031162777915596962,0.9869047403335571,0.9869047403335571,0.9816176295280457,0.9821428656578064,0.054502350028737316,0.033910803496837616,0.9821428656578064,0.9821428656578064
10,0.9926470518112183,0.9928570985794067,0.031348115750862396,0.02700209617614746,0.9928570985794067,0.9928570985794067,0.9926470518112183,0.9928570985794067,0.02577674322362457,0.019082194194197655,0.9928570985794067,0.9928570985794067
11,0.9889705777168274,0.9892856478691101,0.04534105825073579,0.028017012402415276,0.9892856478691101,0.9892856478691101,0.9816176295280457,0.9821428656578064,0.04910780147682609,0.030732817947864532,0.9821428656578064,0.9821428656578064
12,0.9889705777168274,0.9892856478691101,0.03324246414772728,0.020753173157572746,0.9892856478691101,0.9892856478691101,1.0,1.0,0.022671014203556945,0.020433902740478516,1.0,1.0
13,0.9963235259056091,0.9964285492897034,0.02126578151878408,0.01801915653049946,0.9964285492897034,0.9964285492897034,0.9963235259056091,0.9964285492897034,0.01303333303491984,0.011593003757297993,0.9964285492897034,0.9964285492897034
14,0.9963235259056091,0.9964285492897034,0.014036213116282049,0.012115128338336945,0.9964285492897034,0.9964285492897034,1.0,1.0,0.01203966313706977,0.011161226779222488,1.0,1.0
15,0.9963235259056091,0.9964285492897034,0.015609491292921388,0.013693361543118954,0.9964285492897034,0.9964285492897034,1.0,1.0,0.007877294805699162,0.007191989105194807,1.0,1.0
16,0.9963235259056091,0.9964285492897034,0.013293491214212468,0.010461455211043358,0.9964285492897034,0.9964285492897034,1.0,1.0,0.006950822309590876,0.006750940345227718,1.0,1.0
