,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.48161765933036804,0.4773809015750885,0.7235595294657875,0.49913597106933594,0.4773809015750885,0.4773809015750885,0.5,0.49761900305747986,0.6818162713732038,0.4849834442138672,0.49761906266212463,0.49761906266212463
1,0.6764705777168274,0.6833333373069763,0.6410522276864332,0.4699389934539795,0.6833333969116211,0.6833333969116211,0.654411792755127,0.6571427583694458,0.5698790294783456,0.41926267743110657,0.6571428179740906,0.6571428179740906
2,0.7683823704719543,0.7678571343421936,0.5135567424928441,0.3742591142654419,0.7678571343421936,0.7678571343421936,0.8897058963775635,0.8880952000617981,0.3471331638949258,0.26704278588294983,0.8880952000617981,0.8880952000617981
3,0.7941176295280457,0.7857142090797424,0.4189098959459978,0.2780720591545105,0.7857142686843872,0.7857142686843872,0.8492646813392639,0.8488094210624695,0.35692776100976126,0.25294092297554016,0.8488094210624695,0.8488094210624695
4,0.8823529481887817,0.8857142329216003,0.31652290593175325,0.2329365611076355,0.8857142329216003,0.8857142329216003,0.8823529481887817,0.8809523582458496,0.2846968759383474,0.19147077202796936,0.8809523582458496,0.8809523582458496
5,0.9154411554336548,0.9178571105003357,0.22737740002134266,0.1633012443780899,0.9178571701049805,0.9178571701049805,0.9154411554336548,0.9107142686843872,0.20354818180203438,0.1450883001089096,0.9107142686843872,0.9107142686843872
6,0.908088207244873,0.9083333015441895,0.21065740517395384,0.1439083218574524,0.9083333015441895,0.9083333015441895,0.9375,0.9345236420631409,0.17695388357554162,0.11729519814252853,0.9345237016677856,0.9345237016677856
7,0.9448529481887817,0.9464284777641296,0.15444180314593456,0.11172925680875778,0.9464285969734192,0.9464285969734192,0.9558823704719543,0.9523808360099792,0.14089547071073735,0.09780675917863846,0.9523808360099792,0.9523808360099792
8,0.9448529481887817,0.9440475106239319,0.14451569543384454,0.10277161002159119,0.9440475702285767,0.9440475702285767,0.966911792755127,0.9654760956764221,0.12646718136966228,0.09474430978298187,0.9654760956764221,0.9654760956764221
9,0.966911792755127,0.9678570032119751,0.10820342830437071,0.08000528812408447,0.9678570628166199,0.9678570628166199,0.970588207244873,0.9690475463867188,0.09916024043091706,0.07741645723581314,0.9690476059913635,0.9690476059913635
10,0.9338235259056091,0.9357141852378845,0.15138239177930005,0.10948146134614944,0.9357142448425293,0.9357142448425293,0.9411764740943909,0.9380950927734375,0.13456406364483492,0.08467960357666016,0.9380951523780823,0.9380951523780823
11,0.9522058963775635,0.9535713791847229,0.12334484672721695,0.08430606126785278,0.9535713791847229,0.9535713791847229,0.9742646813392639,0.9726189970970154,0.0814301608396428,0.06332466751337051,0.9726189970970154,0.9726189970970154
12,0.9816176295280457,0.9821428656578064,0.08512885884984452,0.06212535500526428,0.9821428656578064,0.9821428656578064,0.9852941036224365,0.9833332896232605,0.0690896028120603,0.05665241554379463,0.9833332896232605,0.9833332896232605
13,0.9742646813392639,0.9749999642372131,0.07666382242870681,0.056669168174266815,0.9749999642372131,0.9749999642372131,0.9889705777168274,0.9892856478691101,0.05615496475781713,0.04440693184733391,0.9892856478691101,0.9892856478691101
14,0.9816176295280457,0.9821428656578064,0.062350384439067805,0.04724762961268425,0.9821428656578064,0.9821428656578064,0.9889705777168274,0.9892856478691101,0.048462631713066785,0.040172696113586426,0.9892856478691101,0.9892856478691101
15,1.0,1.0,0.033305202227304966,0.03007129393517971,1.0,1.0,1.0,1.0,0.02704592315214021,0.024060489609837532,1.0,1.0
16,1.0,1.0,0.02465060045120909,0.022375619038939476,1.0,1.0,1.0,1.0,0.021946307138672898,0.01977887935936451,1.0,1.0
17,1.0,1.0,0.01651597729719737,0.015555856749415398,1.0,1.0,1.0,1.0,0.013554767273100359,0.012678860686719418,1.0,1.0
18,1.0,1.0,0.015211734859108487,0.014119227416813374,1.0,1.0,1.0,1.0,0.01190962504395949,0.011206092312932014,1.0,1.0
